Nom_commune;Coordonnees_gps;Departement
MEYRANNES;44.2779055654, 4.15935326092;GARD
SEPMERIES;50.2772551517, 3.56080213817;NORD
LIGNIERES EN VIMEU;49.9101863161, 1.74567554549;SOMME
LA CHAPELLE DES FOUGERETZ;48.1768937301, -1.74067185823;ILE ET VILAINE
MUNCQ NIEURLET;50.8391311985, 2.11817509259;PAS DE CALAIS
MONT DE VOUGNEY;47.2418796782, 6.73992900985;DOUBS
CRESPIN;44.153846974, 2.25678856386;AVEYRON
ASPERES;43.806765526, 4.03867369104;GARD
BRULON;47.9808104506, -0.230196324503;SARTHE
FORMIGNY;49.3358463072, -0.896417546016;CALVADOS
VAL DE MERCY;47.6704553293, 3.58979488236;YONNE
DROUE SUR DROUETTE;48.6019197892, 1.70074924736;EURE ET LOIR
LESMENILS;48.9314670902, 6.11072851248;MEURTHE ET MOSELLE
PINEY;48.3314574257, 4.35909414684;AUBE
CUSSAC;44.981338765, 2.93616298746;CANTAL
LES SAUVAGES;45.9238716412, 4.37393979073;RHONE
COMBRES;48.3366942783, 1.06041193699;EURE ET LOIR
BEAUVILLIERS;48.3006109163, 1.6537618086;EURE ET LOIR
Y;49.8021266521, 2.98611736598;SOMME
ST LEGER LES AUTHIE;50.1272430532, 2.51346133932;SOMME
ABREST;46.0955766716, 3.45052482175;ALLIER
ST LAURENT MEDOC;45.1404040788, -0.862340576235;GIRONDE
RIA SIRACH;42.6128760298, 2.38920846568;PYRENEES ORIENTALES
ST DIVY;48.454416666, -4.33069811028;FINISTERE
LE FRESNE;48.9567170463, 0.975329849084;EURE
MORCOURT;49.8759595448, 3.33400206098;AISNE
MONTFALCON;45.2603695756, 5.17123092674;ISERE
WICKERSHEIM WILSHAUSEN;48.7815411023, 7.53331362139;BAS RHIN
LAJO;44.8288847769, 3.439863707;LOZERE
TARQUIMPOL;48.780910982, 6.76220586082;MOSELLE
L HOPITAL;49.1574029891, 6.73265965456;MOSELLE
FRONTENAC;44.7297633138, -0.144178489946;GIRONDE
LES AUTHIEUX DU PUITS;48.7049354762, 0.329371823678;ORNE
ST MARTIN DE VILLEREAL;44.6406306447, 0.813494311456;LOT ET GARONNE
LE RUSSEY;47.1549185878, 6.73440290446;DOUBS
ROMBACH LE FRANC;48.2933550805, 7.24348639747;HAUT RHIN
DORANGES;45.3996897026, 3.60566060253;PUY DE DOME
PEYZIEUX SUR SAONE;46.1226331853, 4.82243226719;AIN
VILLENEUVE LE COMTE;48.8115357459, 2.83836128857;SEINE ET MARNE
ST MONT;43.644278367, -0.140293846717;GERS
BUSSANG;47.8913024927, 6.87663647751;VOSGES
ST BONNOT;47.2460224588, 3.30695653573;NIEVRE
FORBACH;49.1912650369, 6.89275798526;MOSELLE
BEVENAIS;45.3935194103, 5.39259917103;ISERE
BERBIGUIERES;44.8394794581, 1.04517998895;DORDOGNE
BILLOM;45.7251184657, 3.32304115809;PUY DE DOME
ST CEOLS;47.2192248164, 2.6363263069;CHER
MIGNEVILLE;48.5341591798, 6.78313669557;MEURTHE ET MOSELLE
PONTS ET MARAIS;50.0387974172, 1.45638141872;SEINE MARITIME
ZILLISHEIM;47.6858083083, 7.30319308149;HAUT RHIN
RONCENAY;48.1967315175, 4.04486518985;AUBE
VIVEY;47.7373432906, 5.06446282527;HAUTE MARNE
COUFFE;47.3885628195, -1.29271841264;LOIRE ATLANTIQUE
LE FIDELAIRE;48.9436797791, 0.80246046702;EURE
ST CYPRIEN;44.8825740011, 1.02538984639;DORDOGNE
ESMOULINS;47.4115991244, 5.55921608276;HAUTE SAONE
BURES SUR YVETTE;48.6929979919, 2.15838686116;ESSONNE
CHAOUILLEY;48.4409660806, 6.0668878378;MEURTHE ET MOSELLE
GRAVELOTTE;49.1111675803, 6.02427505901;MOSELLE
POIX TERRON;49.6441162488, 4.65261121158;ARDENNES
LANUEJOLS;44.1272274287, 3.37586274913;GARD
ST JEAN D ARVES;45.1659803652, 6.27215759113;SAVOIE
TONQUEDEC;48.6751108479, -3.40013620109;COTES D ARMOR
BEHREN LES FORBACH;49.1675786838, 6.94249059471;MOSELLE
MEXY;49.5017214844, 5.78595844743;MEURTHE ET MOSELLE
ANNEVILLE AMBOURVILLE;49.450044528, 0.891983658071;SEINE MARITIME
BEAUNE SUR ARZON;45.2883722336, 3.82077578795;HAUTE LOIRE
LES ORMES SUR VOULZIE;48.4595788684, 3.22503214094;SEINE ET MARNE
MANAS BASTANOUS;43.3671107189, 0.369648739951;GERS
MORVILLE;49.4744014366, -1.51700030481;MANCHE
ANGLARDS DE SALERS;45.1968681606, 2.46563596922;CANTAL
BRANGUES;45.6960928828, 5.53688016446;ISERE
BOUSSOIS;50.2948725712, 4.04711513653;NORD
ISLE AUBIGNY;48.5438287791, 4.28206755992;AUBE
